X,Y,Z,azimuth,dip,polarity,formation,source
535257.61161618,7499029.61466975,516.933710639043,360.0,40.0,1,Jeerinah_Formation,observed
548279.32061205,7493304.27929258,547.2018422432042,190.0,50.0,1,Jeerinah_Formation,observed
548279.32061205,7493304.27929258,547.2018422432042,190.0,55.0,1,Jeerinah_Formation,observed
541013.16039186,7493387.43930108,540.2179723136178,150.0,28.0,1,Bunjinah_Formation,observed
536742.23216759,7490698.33941677,500.982204988715,110.0,28.0,1,Bunjinah_Formation,observed
548249.15588261,7493512.48955459,539.491956095125,190.0,50.0,1,Jeerinah_Formation,observed
548249.15588261,7493512.48955459,539.491956095125,190.0,55.0,1,Jeerinah_Formation,observed
523989.54366251,7500823.54711461,634.4154005612631,355.0,63.0,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,observed
537199.09563866,7490607.57099584,515.1002674574747,110.0,28.0,1,Jeerinah_Formation,observed
543234.97739865,7505326.76715363,602.3721861160096,330.0,15.0,1,Jeerinah_Formation,observed
543754.18068029,7504599.12601575,564.4080619548795,330.0,15.0,1,Jeerinah_Formation,observed
522441.04068434,7500496.57253559,585.065125951248,163.0,29.0,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,observed
521969.86148165,7509447.16831663,573.6155658100872,365.0,52.0,1,Brockman_Iron_Formation,observed
535856.33026169,7512629.90191351,652.0562424889541,383.0,32.0,1,Brockman_Iron_Formation,observed
538825.16687886,7511863.37365568,670.993051781565,371.0,9.0,1,Brockman_Iron_Formation,observed
541065.40971783,7507289.30875077,678.3746433730048,137.0,26.0,1,Brockman_Iron_Formation,observed
528702.09351822,7500732.15020471,565.0936407015965,110.0,41.0,1,Jeerinah_Formation,observed
535346.60929794,7499105.69666818,518.7177064259381,175.0,40.0,1,Jeerinah_Formation,observed
545557.03288211,7494696.21808249,521.8681345162565,362.0,15.0,1,Jeerinah_Formation,observed
544921.82941261,7514333.36252441,794.0217447138706,440.0,35.0,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,observed
544708.19918899,7514108.86119291,790.6374084617158,400.0,33.0,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,observed
547332.06601078,7516113.86829699,744.1827680163284,127.0,28.0,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,observed
547704.52567933,7513884.34170986,630.1927102904775,365.0,34.0,1,Wittenoom_Formation,observed
547640.63848022,7513734.467746,635.7714791762437,184.0,34.0,1,Marra_Mamba_Iron_Formation,observed
538617.61984384,7511806.72349882,665.5872247919455,191.0,9.0,1,Brockman_Iron_Formation,observed
535859.02692715,7512398.30549352,651.9123422361258,201.0,32.0,1,Brockman_Iron_Formation,observed
547242.81740116,7516046.24923983,745.3221676522651,305.0,28.0,1,Wittenoom_Formation,observed
546137.8575609,7494606.69912057,524.3693082263942,360.0,15.0,1,Jeerinah_Formation,observed
540038.91207275,7506751.82918475,670.8114422975481,338.0,28.0,1,Brockman_Iron_Formation,observed
521796.72185923,7509376.56236277,575.5119279075275,181.0,52.0,1,Brockman_Iron_Formation,observed
544671.5774674,7513917.04057533,785.0395846008169,219.0,33.0,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,observed
521993.39933415,7508834.9892679,555.8188770459442,171.0,60.0,1,Weeli_Wolli_Formation,observed
544608.89803516,7514084.37259684,804.3403565272547,442.0,35.0,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,observed
544512.13000453,7514096.8288444,828.6708374881375,405.0,26.0,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,observed
529219.05316166,7512991.48314111,658.6546014842835,230.0,24.0,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation,observed
536789.57090088,7516217.95425832,727.4641121892502,200.0,54.0,1,Brockman_Iron_Formation,observed
537020.13400936,7516172.5715585,747.0846673148254,181.0,24.0,1,Brockman_Iron_Formation,observed
519931.834325765,7499583.206071265,516.3942679180267,153.43363557174325,90.0,0,Wittenoom_Formation,contact_orientations
523128.60456431,7499715.239743846,558.9585140450026,2.508268198687915,8.299717079997379,1,Marra_Mamba_Iron_Formation,contact_orientations
521615.1737186,7499739.228625216,548.2938677602865,354.0804327506938,31.481410523872725,1,Marra_Mamba_Iron_Formation,contact_orientations
523246.41950707,7507589.53394784,546.1661308429909,166.5567981044003,35.38422165120045,1,Boolgeeda_Iron_Formation,contact_orientations
528901.258778085,7508757.136089555,576.4761708396668,163.8256534957261,3.742910924373177,1,Boolgeeda_Iron_Formation,contact_orientations
533591.674545265,7510056.70069932,609.9698807257935,152.79149373341954,6.137822916764833,1,Boolgeeda_Iron_Formation,contact_orientations
