,X,Y,Z,dip,strike,feature_name,coord,random
972,500.0,500.0,5500.0,69.965373,399.166448,s0,,0.12665743100812732
976,500.0,500.0,6000.0,69.965373,399.166448,s0,,0.3761436078177779
980,500.0,500.0,6500.0,69.965373,399.166448,s0,,0.7316840264010729
984,500.0,500.0,7000.0,69.965373,399.166448,s0,,0.47952172978098384
988,500.0,500.0,7500.0,69.965373,399.166448,s0,,0.46560715250271034
992,500.0,500.0,8000.0,69.965373,399.166448,s0,,0.8689058330520031
996,500.0,500.0,8500.0,69.965373,399.166448,s0,,0.19220158320439595
1000,500.0,500.0,9000.0,69.965373,399.166448,s0,,0.5031412693379138
1004,500.0,500.0,9500.0,69.965373,399.166448,s0,,0.15501560544538195
1016,1000.0,500.0,5500.0,71.162932,396.218364,s0,,0.6434284407894826
1020,1000.0,500.0,6000.0,71.162932,396.218364,s0,,0.7619419472201688
1024,1000.0,500.0,6500.0,71.162932,396.218364,s0,,0.2778776102888004
1028,1000.0,500.0,7000.0,71.162932,396.218364,s0,,0.7828495603128331
1032,1000.0,500.0,7500.0,71.162932,396.218364,s0,,0.6602060084270046
1036,1000.0,500.0,8000.0,71.162932,396.218364,s0,,0.8152848868696019
1040,1000.0,500.0,8500.0,71.162932,396.218364,s0,,0.10936830733291436
1044,1000.0,500.0,9000.0,71.162932,396.218364,s0,,0.4408309176037216
1048,1000.0,500.0,9500.0,71.162932,396.218364,s0,,0.6483448442810504
1060,1500.0,500.0,5500.0,71.151072,396.246797,s0,,0.7487297641964195
1064,1500.0,500.0,6000.0,71.151072,396.246797,s0,,0.9074385176070096
1068,1500.0,500.0,6500.0,71.151072,396.246797,s0,,0.14240459968709507
1072,1500.0,500.0,7000.0,71.151072,396.246797,s0,,0.8384040128856335
1076,1500.0,500.0,7500.0,71.151072,396.246797,s0,,0.3316612315380597
1080,1500.0,500.0,8000.0,71.151072,396.246797,s0,,0.3210939411642616
1084,1500.0,500.0,8500.0,71.151072,396.246797,s0,,0.797915479152169
1088,1500.0,500.0,9000.0,71.151072,396.246797,s0,,0.49199646108508976
1092,1500.0,500.0,9500.0,71.151072,396.246797,s0,,0.444796374917113
1104,2000.0,500.0,5500.0,70.370847,398.150099,s0,,0.7982718443326845
1108,2000.0,500.0,6000.0,70.370847,398.150099,s0,,0.47277242167022704
