feature_name,X,Y,Z,coord,val,gx,gy,gz,intrusion_contact_type,intrusion_anisotropy,intrusion_side
stratigraphy,0,0,2,,0,,,,,,
stratigraphy,0,5,2,,0,,,,,,
stratigraphy,5,0,2,,0,,,,,,
stratigraphy,5,5,2,,0,,,,,,
stratigraphy,2.5,2.5,2,,,0,0,1,,,
tabular_intrusion,3,2,2,,,,,,roof,stratigraphy,
tabular_intrusion,4,4,2,,,,,,roof,stratigraphy,TRUE
tabular_intrusion,2,3,2,,,,,,roof,stratigraphy,
tabular_intrusion,2,2,2,,,,,,roof,stratigraphy,
tabular_intrusion_delete,2,2,4,,,,,,roof,stratigraphy,BORRAR
tabular_intrusion,1,1,1,,,,,,floor,,TRUE
tabular_intrusion,4,2,1,,,,,,floor,,TRUE
tabular_intrusion,1,3,1,,,,,,floor,,TRUE
tabular_intrusion_frame,2,2,2,0,,0,0,-1,,,
tabular_intrusion_frame,3,1,2,0,,0,0,-1,,,
tabular_intrusion_frame,1,3,2,0,,0,0,-1,,,
tabular_intrusion_frame,3,2,1,1,0,,,,,,
tabular_intrusion_frame,3,2,1,1,,0,1,0,,,
tabular_intrusion_frame,2.5,1,1,2,0,,,,,,
tabular_intrusion_frame,2.5,2,1,2,0,,,,,,
tabular_intrusion_frame,2.5,2,1,2,,1,0,0,,,
