X;Y;Z;Strati
550464.310547;7817886.250000;-8833.120117;0.000000
549339.310547;7817886.250000;-8864.879883;0.000000
551626.810547;7820570.359375;-8846.129883;0.000000
549801.810547;7819031.218750;-8852.179688;0.000000
551801.810547;7821809.179688;-8845.959961;0.000000
549751.810547;7817980.097656;-8867.639648;0.000000
549826.810547;7818055.179688;-8869.389648;0.000000
552101.810547;7818561.968750;-8811.410156;0.000000
551264.310547;7818130.257813;-8796.799805;0.000000
550489.310547;7818224.109375;-8839.269531;0.000000
549301.810547;7819068.757813;-8906.370117;0.000000
551076.810547;7818543.199219;-8809.919922;0.000000
550701.810547;7817341.917969;-8813.429688;0.000000
549576.810547;7817811.167969;-8853.530273;0.000000
549389.310547;7820532.820313;-8951.950195;0.000000
551126.810547;7820814.371094;-8876.940430;0.000000
552301.810547;7817304.378906;-8752.639648;0.000000
549126.810547;7819068.757813;-8917.820313;0.000000
551064.310547;7820983.296875;-8890.679688;0.000000
549689.310547;7816684.968750;-8833.000000;0.000000
549276.810547;7818167.796875;-8881.370117;0.000000
549014.310547;7819294.000000;-8941.469727;0.000000
550326.810547;7819819.558594;-8795.000000;0.000000
551289.310547;7819575.550781;-8821.089844;0.000000
552039.310547;7818824.750000;-8811.799805;0.000000
550976.810547;7818543.199219;-8817.389648;0.000000
552001.810547;7818092.718750;-8784.299805;0.000000
552439.310547;7821415.007813;-8861.370117;0.000000
548901.810547;7820044.800781;-8941.980469;0.000000
550414.310547;7820551.589844;-8801.360352;0.000000
550476.810547;7818055.179688;-8837.169922;0.000000
551251.810547;7818637.046875;-8804.530273;0.000000
549864.310547;7819706.937500;-8861.839844;0.000000
551776.810547;7816684.968750;-8771.910156;0.000000
552289.310547;7817642.238281;-8775.690430;0.000000
549889.310547;7818055.179688;-8867.129883;0.000000
551164.310547;7818055.179688;-8795.950195;0.000000
551489.310547;7818130.257813;-8785.040039;0.000000
549389.310547;7818637.046875;-8872.040039;0.000000
549426.810547;7817266.839844;-8792.830078;0.000000
550651.810547;7817754.859375;-8825.389648;0.000000
550289.310547;7818524.429688;-8843.530273;0.000000
550526.810547;7818486.890625;-8825.190430;0.000000
549951.810547;7818055.179688;-8866.719727;0.000000
