X;Y;Z;Strati
550551.810547;7821752.867188;-8945.320313;0.000000
550551.810547;7821734.101563;-8942.900391;0.000000
550551.810547;7821715.328125;-8940.299805;0.000000
550551.810547;7821696.558594;-8936.379883;0.000000
550551.810547;7821677.789063;-8934.129883;0.000000
550551.810547;7821659.019531;-8934.540039;0.000000
550551.810547;7821640.250000;-8933.690430;0.000000
550551.810547;7821621.480469;-8932.799805;0.000000
550551.810547;7821602.710938;-8933.919922;0.000000
550551.810547;7821583.941406;-8933.129883;0.000000
550551.810547;7821565.167969;-8933.589844;0.000000
550551.810547;7821546.398438;-8933.740234;0.000000
550551.810547;7821527.628906;-8931.820313;0.000000
550551.810547;7821508.859375;-8929.799805;0.000000
550551.810547;7821490.089844;-8926.169922;0.000000
550551.810547;7821471.320313;-8918.349609;0.000000
550551.810547;7821452.550781;-8914.309570;0.000000
550551.810547;7821433.781250;-8908.639648;0.000000
550551.810547;7821415.007813;-8906.160156;0.000000
550551.810547;7821396.238281;-8904.480469;0.000000
550551.810547;7821377.468750;-8906.639648;0.000000
550551.810547;7821358.699219;-8911.959961;0.000000
550551.810547;7821339.929688;-8914.500000;0.000000
550551.810547;7821321.160156;-8914.160156;0.000000
550551.810547;7821302.390625;-8914.740234;0.000000
550551.810547;7821283.617188;-8912.269531;0.000000
550551.810547;7821264.847656;-8909.349609;0.000000
550551.810547;7821246.078125;-8907.519531;0.000000
550551.810547;7821227.308594;-8907.040039;0.000000
550551.810547;7821208.539063;-8905.900391;0.000000
550551.810547;7821189.769531;-8904.410156;0.000000
550551.810547;7821171.000000;-8901.910156;0.000000
550551.810547;7821152.230469;-8900.940430;0.000000
550551.810547;7821133.457031;-8898.889648;0.000000
550551.810547;7821114.691406;-8898.549805;0.000000
550551.810547;7821095.917969;-8897.250000;0.000000
550551.810547;7821077.148438;-8895.759766;0.000000
550551.810547;7821058.378906;-8893.089844;0.000000
550551.810547;7821039.609375;-8891.040039;0.000000
550551.810547;7821020.839844;-8889.349609;0.000000
550551.810547;7821002.070313;-8888.160156;0.000000
550551.810547;7820983.296875;-8883.349609;0.000000
550551.810547;7820964.531250;-8879.530273;0.000000
550551.810547;7820945.757813;-8876.150391;0.000000
550551.810547;7820926.988281;-8874.049805;0.000000
550551.810547;7820908.218750;-8871.570313;0.000000
550551.810547;7820889.449219;-8870.389648;0.000000
550551.810547;7820870.679688;-8868.099609;0.000000
550551.810547;7820851.910156;-8865.730469;0.000000
550551.810547;7820833.140625;-8861.110352;0.000000
550551.810547;7820814.371094;-8859.410156;0.000000
550551.810547;7820795.597656;-8858.349609;0.000000
550551.810547;7820776.828125;-8856.129883;0.000000
550551.810547;7820758.058594;-8851.919922;0.000000
550551.810547;7820739.289063;-8847.330078;0.000000
550551.810547;7820720.519531;-8843.290039;0.000000
550551.810547;7820701.750000;-8838.150391;0.000000
550551.810547;7820682.980469;-8831.580078;0.000000
550551.810547;7820664.210938;-8826.469727;0.000000
550551.810547;7820645.437500;-8821.240234;0.000000
550551.810547;7820626.667969;-8816.570313;0.000000
550551.810547;7820607.898438;-8810.360352;0.000000
550551.810547;7820589.128906;-8809.830078;0.000000
550551.810547;7820570.359375;-8810.709961;0.000000
550551.810547;7820551.589844;-8812.870117;0.000000
550551.810547;7820532.820313;-8811.889648;0.000000
550551.810547;7820514.050781;-8811.870117;0.000000
550551.810547;7820495.281250;-8809.080078;0.000000
550551.810547;7820476.507813;-8802.990234;0.000000
550551.810547;7820457.738281;-8799.629883;0.000000
550551.810547;7820438.968750;-8797.320313;0.000000
550551.810547;7820420.199219;-8794.009766;0.000000
550551.810547;7820401.429688;-8791.049805;0.000000
550551.810547;7820382.660156;-8787.559570;0.000000
550551.810547;7820363.886719;-8787.900391;0.000000
550551.810547;7820345.121094;-8789.589844;0.000000
550551.810547;7820326.347656;-8788.959961;0.000000
550551.810547;7820307.578125;-8785.860352;0.000000
550551.810547;7820288.808594;-8781.580078;0.000000
550551.810547;7820270.039063;-8776.320313;0.000000
550551.810547;7820251.269531;-8773.650391;0.000000
550551.810547;7820232.500000;-8771.370117;0.000000
550551.810547;7820213.730469;-8767.490234;0.000000
550551.810547;7820194.960938;-8763.700195;0.000000
550551.810547;7820176.187500;-8761.719727;0.000000
550551.810547;7820157.417969;-8760.450195;0.000000
550551.810547;7820138.648438;-8759.959961;0.000000
550551.810547;7820119.878906;-8761.139648;0.000000
550551.810547;7820101.109375;-8763.889648;0.000000
550551.810547;7820082.339844;-8768.690430;0.000000
550551.810547;7820063.570313;-8771.849609;0.000000
550551.810547;7820044.800781;-8775.009766;0.000000
550551.810547;7820026.027344;-8779.419922;0.000000
550551.810547;7820007.257813;-8781.480469;0.000000
550551.810547;7819988.488281;-8781.419922;0.000000
550551.810547;7819969.718750;-8781.000000;0.000000
550551.810547;7819950.949219;-8780.940430;0.000000
550551.810547;7819932.179688;-8781.769531;0.000000
550551.810547;7819913.410156;-8783.950195;0.000000
550551.810547;7819894.640625;-8786.330078;0.000000
550551.810547;7819875.867188;-8788.320313;0.000000
550551.810547;7819857.097656;-8789.860352;0.000000
550551.810547;7819838.328125;-8792.559570;0.000000
550551.810547;7819819.558594;-8795.929688;0.000000
550551.810547;7819800.789063;-8798.549805;0.000000
550551.810547;7819782.019531;-8799.179688;0.000000
550551.810547;7819763.250000;-8800.160156;0.000000
550551.810547;7819744.480469;-8800.110352;0.000000
550551.810547;7819725.710938;-8799.700195;0.000000
550551.810547;7819706.937500;-8799.160156;0.000000
550551.810547;7819688.167969;-8799.339844;0.000000
550551.810547;7819669.398438;-8798.269531;0.000000
550551.810547;7819650.628906;-8797.000000;0.000000
550551.810547;7819631.859375;-8794.370117;0.000000
550551.810547;7819613.089844;-8794.299805;0.000000
550551.810547;7819594.320313;-8793.009766;0.000000
550551.810547;7819575.550781;-8791.519531;0.000000
550551.810547;7819556.777344;-8790.650391;0.000000
550551.810547;7819538.007813;-8790.459961;0.000000
550551.810547;7819519.238281;-8789.660156;0.000000
550551.810547;7819500.468750;-8789.610352;0.000000
550551.810547;7819481.699219;-8786.559570;0.000000
550551.810547;7819462.929688;-8785.400391;0.000000
550551.810547;7819444.160156;-8783.469727;0.000000
550551.810547;7819425.390625;-8780.910156;0.000000
550551.810547;7819406.617188;-8778.059570;0.000000
550551.810547;7819387.851563;-8775.080078;0.000000
550551.810547;7819369.078125;-8772.500000;0.000000
550551.810547;7819350.308594;-8770.740234;0.000000
550551.810547;7819331.539063;-8768.589844;0.000000
550551.810547;7819312.769531;-8767.820313;0.000000
550551.810547;7819294.000000;-8767.589844;0.000000
550551.810547;7819275.230469;-8767.929688;0.000000
550551.810547;7819256.457031;-8767.690430;0.000000
550551.810547;7819237.687500;-8765.049805;0.000000
