X;Y;Z;Strati
549151.810547;7819763.250000;-9153.959961;60.000000
551451.810547;7818430.578125;-9022.740234;60.000000
551739.310547;7819819.558594;-9021.700195;60.000000
551864.310547;7817773.628906;-9018.339844;60.000000
551451.810547;7817548.386719;-9032.980469;60.000000
548914.310547;7817172.988281;-9083.599609;60.000000
551501.810547;7820607.898438;-9071.219727;60.000000
551776.810547;7821640.250000;-9061.339844;60.000000
550201.810547;7816741.277344;-9062.790039;60.000000
551176.810547;7816741.277344;-9022.870117;60.000000
552201.810547;7821677.789063;-9029.129883;60.000000
552301.810547;7818149.027344;-9040.700195;60.000000
551251.810547;7820326.347656;-9047.110352;60.000000
549001.810547;7817886.250000;-9093.769531;60.000000
549764.310547;7820345.121094;-9089.379883;60.000000
550951.810547;7820138.648438;-9028.570313;60.000000
552014.310547;7817585.929688;-9007.389648;60.000000
550214.310547;7820739.289063;-9068.610352;60.000000
550614.310547;7820288.808594;-8950.320313;60.000000
548901.810547;7817079.140625;-9084.419922;60.000000
550776.810547;7821377.468750;-9145.570313;60.000000
550614.310547;7821659.019531;-9158.379883;60.000000
551714.310547;7820082.339844;-8977.509766;60.000000
550276.810547;7820814.371094;-9074.700195;60.000000
551826.810547;7819556.777344;-9032.759766;60.000000
549451.810547;7819556.777344;-9116.339844;60.000000
549089.310547;7816835.128906;-9086.799805;60.000000
551289.310547;7818167.796875;-9018.799805;60.000000
551889.310547;7818505.660156;-9032.940430;60.000000
549164.310547;7820213.730469;-9137.610352;60.000000
552326.810547;7821095.917969;-9066.250000;60.000000
551501.810547;7819575.550781;-9040.860352;60.000000
549626.810547;7821771.640625;-9191.419922;60.000000
552189.310547;7819688.167969;-9030.709961;60.000000
549389.310547;7820589.128906;-9156.299805;60.000000
552026.810547;7820251.269531;-8958.480469;60.000000
551901.810547;7821527.628906;-9076.799805;60.000000
551814.310547;7820983.296875;-9081.830078;60.000000
551051.810547;7816928.980469;-9034.660156;60.000000
552164.310547;7821490.089844;-9057.099609;60.000000
549726.810547;7816684.968750;-9057.719727;60.000000
552139.310547;7821659.019531;-9028.049805;60.000000
550714.310547;7821039.609375;-9123.549805;60.000000
552364.310547;7817529.617188;-8958.240234;60.000000
549551.810547;7819049.988281;-9089.820313;60.000000
551364.310547;7816797.589844;-9015.570313;60.000000
