X;Y;Z;Strati
550551.810547;7821827.949219;-9166.320313;60.000000
550551.810547;7821809.179688;-9167.900391;60.000000
550551.810547;7821790.410156;-9167.740234;60.000000
550551.810547;7821771.640625;-9166.669922;60.000000
550551.810547;7821752.867188;-9165.599609;60.000000
550551.810547;7821734.101563;-9163.559570;60.000000
550551.810547;7821715.328125;-9163.559570;60.000000
550551.810547;7821696.558594;-9163.490234;60.000000
550551.810547;7821677.789063;-9160.950195;60.000000
550551.810547;7821659.019531;-9160.080078;60.000000
550551.810547;7821640.250000;-9159.690430;60.000000
550551.810547;7821621.480469;-9158.480469;60.000000
550551.810547;7821602.710938;-9156.000000;60.000000
550551.810547;7821583.941406;-9150.959961;60.000000
550551.810547;7821565.167969;-9150.959961;60.000000
550551.810547;7821546.398438;-9152.679688;60.000000
550551.810547;7821527.628906;-9153.709961;60.000000
550551.810547;7821508.859375;-9154.120117;60.000000
550551.810547;7821490.089844;-9152.959961;60.000000
550551.810547;7821471.320313;-9149.860352;60.000000
550551.810547;7821452.550781;-9146.519531;60.000000
550551.810547;7821433.781250;-9141.389648;60.000000
550551.810547;7821415.007813;-9136.509766;60.000000
550551.810547;7821396.238281;-9134.379883;60.000000
550551.810547;7821377.468750;-9133.990234;60.000000
550551.810547;7821358.699219;-9135.160156;60.000000
550551.810547;7821339.929688;-9136.190430;60.000000
550551.810547;7821321.160156;-9135.419922;60.000000
550551.810547;7821302.390625;-9134.709961;60.000000
550551.810547;7821283.617188;-9134.429688;60.000000
550551.810547;7821264.847656;-9131.400391;60.000000
550551.810547;7821246.078125;-9127.440430;60.000000
550551.810547;7821227.308594;-9124.089844;60.000000
550551.810547;7821208.539063;-9120.719727;60.000000
550551.810547;7821189.769531;-9118.019531;60.000000
550551.810547;7821171.000000;-9115.700195;60.000000
550551.810547;7821152.230469;-9113.549805;60.000000
550551.810547;7821133.457031;-9110.959961;60.000000
550551.810547;7821114.691406;-9107.839844;60.000000
550551.810547;7821095.917969;-9104.030273;60.000000
550551.810547;7821077.148438;-9101.610352;60.000000
550551.810547;7821058.378906;-9100.000000;60.000000
550551.810547;7821039.609375;-9097.669922;60.000000
550551.810547;7821020.839844;-9093.549805;60.000000
550551.810547;7821002.070313;-9090.450195;60.000000
550551.810547;7820983.296875;-9085.929688;60.000000
550551.810547;7820964.531250;-9082.440430;60.000000
550551.810547;7820945.757813;-9077.049805;60.000000
550551.810547;7820926.988281;-9074.209961;60.000000
550551.810547;7820908.218750;-9071.900391;60.000000
550551.810547;7820889.449219;-9069.980469;60.000000
550551.810547;7820870.679688;-9066.419922;60.000000
550551.810547;7820851.910156;-9062.740234;60.000000
550551.810547;7820833.140625;-9056.980469;60.000000
550551.810547;7820814.371094;-9052.469727;60.000000
550551.810547;7820795.597656;-9048.190430;60.000000
550551.810547;7820776.828125;-9043.669922;60.000000
550551.810547;7820758.058594;-9037.389648;60.000000
550551.810547;7820739.289063;-9033.500000;60.000000
550551.810547;7820720.519531;-9027.419922;60.000000
550551.810547;7820701.750000;-9023.419922;60.000000
550551.810547;7820682.980469;-9015.070313;60.000000
550551.810547;7820664.210938;-9010.440430;60.000000
550551.810547;7820645.437500;-9005.440430;60.000000
550551.810547;7820626.667969;-9001.250000;60.000000
550551.810547;7820607.898438;-8996.030273;60.000000
550551.810547;7820589.128906;-8991.209961;60.000000
550551.810547;7820570.359375;-8987.809570;60.000000
550551.810547;7820551.589844;-8985.620117;60.000000
550551.810547;7820532.820313;-8982.669922;60.000000
550551.810547;7820514.050781;-8984.160156;60.000000
550551.810547;7820495.281250;-8987.309570;60.000000
550551.810547;7820476.507813;-8989.820313;60.000000
550551.810547;7820457.738281;-8988.669922;60.000000
550551.810547;7820438.968750;-8981.580078;60.000000
550551.810547;7820420.199219;-8975.339844;60.000000
550551.810547;7820401.429688;-8968.589844;60.000000
550551.810547;7820382.660156;-8963.450195;60.000000
550551.810547;7820363.886719;-8959.339844;60.000000
550551.810547;7820345.121094;-8955.000000;60.000000
550551.810547;7820326.347656;-8953.339844;60.000000
550551.810547;7820307.578125;-8952.860352;60.000000
550551.810547;7820288.808594;-8948.990234;60.000000
550551.810547;7820270.039063;-8942.780273;60.000000
550551.810547;7820251.269531;-8939.620117;60.000000
550551.810547;7820232.500000;-8928.259766;60.000000
550551.810547;7820213.730469;-8924.919922;60.000000
550551.810547;7820194.960938;-8924.780273;60.000000
550551.810547;7820176.187500;-8925.169922;60.000000
550551.810547;7820157.417969;-8926.759766;60.000000
550551.810547;7820138.648438;-8930.219727;60.000000
550551.810547;7820119.878906;-8935.509766;60.000000
550551.810547;7820101.109375;-8939.290039;60.000000
550551.810547;7820082.339844;-8943.459961;60.000000
550551.810547;7820063.570313;-8948.019531;60.000000
550551.810547;7820044.800781;-8951.500000;60.000000
550551.810547;7820026.027344;-8955.150391;60.000000
550551.810547;7820007.257813;-8956.660156;60.000000
550551.810547;7819988.488281;-8956.959961;60.000000
550551.810547;7819969.718750;-8957.480469;60.000000
550551.810547;7819950.949219;-8960.589844;60.000000
550551.810547;7819932.179688;-8965.500000;60.000000
550551.810547;7819913.410156;-8970.629883;60.000000
550551.810547;7819894.640625;-8973.269531;60.000000
550551.810547;7819875.867188;-8976.269531;60.000000
550551.810547;7819857.097656;-8979.919922;60.000000
550551.810547;7819838.328125;-8983.929688;60.000000
550551.810547;7819819.558594;-8987.309570;60.000000
550551.810547;7819800.789063;-8992.150391;60.000000
550551.810547;7819782.019531;-8996.400391;60.000000
550551.810547;7819763.250000;-8998.839844;60.000000
550551.810547;7819744.480469;-9000.790039;60.000000
550551.810547;7819725.710938;-8997.799805;60.000000
550551.810547;7819706.937500;-8993.690430;60.000000
550551.810547;7819688.167969;-8994.200195;60.000000
550551.810547;7819669.398438;-8995.009766;60.000000
550551.810547;7819650.628906;-8992.570313;60.000000
550551.810547;7819631.859375;-8990.299805;60.000000
550551.810547;7819613.089844;-8988.919922;60.000000
550551.810547;7819594.320313;-8985.879883;60.000000
550551.810547;7819575.550781;-8985.919922;60.000000
550551.810547;7819556.777344;-8984.519531;60.000000
550551.810547;7819538.007813;-8979.519531;60.000000
550551.810547;7819519.238281;-8971.099609;60.000000
550551.810547;7819500.468750;-8968.690430;60.000000
550551.810547;7819481.699219;-8963.679688;60.000000
550551.810547;7819462.929688;-8957.209961;60.000000
550551.810547;7819444.160156;-8956.160156;60.000000
550551.810547;7819425.390625;-8957.870117;60.000000
550551.810547;7819406.617188;-8972.690430;60.000000
550551.810547;7819387.851563;-8973.700195;60.000000
550551.810547;7819369.078125;-8973.540039;60.000000
550551.810547;7819350.308594;-8974.469727;60.000000
550551.810547;7819331.539063;-8974.589844;60.000000
550551.810547;7819312.769531;-8975.200195;60.000000
550551.810547;7819294.000000;-8974.700195;60.000000
550551.810547;7819275.230469;-8972.129883;60.000000
