X;Y;Z;Strati
550439.310547;7820270.039063;-9380.080078;250.000000
549876.810547;7818805.980469;-9571.379883;250.000000
550776.810547;7821321.160156;-9717.740234;250.000000
549489.310547;7818937.367188;-9627.379883;250.000000
550614.310547;7821452.550781;-9740.019531;250.000000
550339.310547;7817210.527344;-9589.839844;250.000000
550051.810547;7817792.398438;-9701.169922;250.000000
549364.310547;7820758.058594;-9736.400391;250.000000
549614.310547;7817492.078125;-9570.709961;250.000000
551001.810547;7817698.546875;-9577.719727;250.000000
551101.810547;7821809.179688;-9699.519531;250.000000
551389.310547;7817661.007813;-9582.360352;250.000000
552426.810547;7816684.968750;-9453.110352;250.000000
550301.810547;7817454.539063;-9647.209961;250.000000
549326.810547;7820026.027344;-9728.690430;250.000000
549339.310547;7817022.828125;-9607.080078;250.000000
549689.310547;7818937.367188;-9599.040039;250.000000
549726.810547;7821659.019531;-9749.259766;250.000000
550189.310547;7818130.257813;-9702.919922;250.000000
549814.310547;7819162.609375;-9625.750000;250.000000
549476.810547;7819763.250000;-9702.009766;250.000000
548901.810547;7821171.000000;-9771.030273;250.000000
549214.310547;7819031.218750;-9712.870117;250.000000
551226.810547;7817998.871094;-9551.719727;250.000000
549739.310547;7819556.777344;-9654.629883;250.000000
548901.810547;7817398.226563;-9597.410156;250.000000
549714.310547;7821058.378906;-9740.690430;250.000000
549076.810547;7816797.589844;-9685.900391;250.000000
549426.810547;7820870.679688;-9736.230469;250.000000
550839.310547;7821508.859375;-9716.299805;250.000000
550014.310547;7818787.207031;-9626.190430;250.000000
550776.810547;7821058.378906;-9675.740234;250.000000
548901.810547;7819012.449219;-9739.599609;250.000000
551214.310547;7818336.730469;-9521.990234;250.000000
549226.810547;7816778.816406;-9696.839844;250.000000
549601.810547;7820870.679688;-9744.230469;250.000000
549489.310547;7820945.757813;-9745.250000;250.000000
549126.810547;7820363.886719;-9736.250000;250.000000
551576.810547;7821546.398438;-9656.320313;250.000000
549214.310547;7820326.347656;-9735.940430;250.000000
550964.310547;7818092.718750;-9609.459961;250.000000
549939.310547;7821039.609375;-9725.219727;250.000000
550376.810547;7817510.847656;-9661.679688;250.000000
551376.810547;7816666.199219;-9592.370117;250.000000
549251.810547;7820176.187500;-9725.269531;250.000000
549801.810547;7820570.359375;-9658.730469;250.000000
552201.810547;7816985.289063;-9508.629883;250.000000
549301.810547;7820438.968750;-9737.099609;250.000000
549089.310547;7817210.527344;-9563.820313;250.000000
549339.310547;7819031.218750;-9681.799805;250.000000
549489.310547;7819200.148438;-9673.629883;250.000000
550851.810547;7821677.789063;-9721.780273;250.000000
551501.810547;7821583.941406;-9663.679688;250.000000
549764.310547;7817961.328125;-9700.639648;250.000000
549451.810547;7818299.187500;-9697.009766;250.000000
549189.310547;7820176.187500;-9723.509766;250.000000
550489.310547;7820232.500000;-9393.910156;250.000000
550064.310547;7816684.968750;-9640.160156;250.000000
549264.310547;7819969.718750;-9731.780273;250.000000
550364.310547;7817848.710938;-9671.929688;250.000000
549264.310547;7817266.839844;-9473.070313;250.000000
548939.310547;7820682.980469;-9756.780273;250.000000
549351.810547;7817942.558594;-9681.400391;250.000000
550776.810547;7819538.007813;-9525.519531;250.000000
552289.310547;7817060.367188;-9477.830078;250.000000
550189.310547;7817248.070313;-9588.849609;250.000000
549401.810547;7817679.777344;-9567.099609;250.000000
549614.310547;7817792.398438;-9654.139648;250.000000
549314.310547;7817717.320313;-9587.799805;250.000000
548901.810547;7816985.289063;-9686.269531;250.000000
549951.810547;7816703.738281;-9653.610352;250.000000
550951.810547;7819256.457031;-9545.879883;250.000000
550339.310547;7817773.628906;-9676.419922;250.000000
549989.310547;7817379.460938;-9630.589844;250.000000
551389.310547;7821809.179688;-9634.709961;250.000000
549464.310547;7817210.527344;-9536.790039;250.000000
552439.310547;7817792.398438;-9523.230469;250.000000
551401.810547;7821734.101563;-9641.339844;250.000000
549076.810547;7818881.058594;-9719.750000;250.000000
549289.310547;7818824.750000;-9685.780273;250.000000
548901.810547;7821415.007813;-9756.790039;250.000000
549926.810547;7817736.089844;-9697.419922;250.000000
550389.310547;7817360.687500;-9625.730469;250.000000
550026.810547;7820833.140625;-9665.469727;250.000000
549101.810547;7818599.507813;-9720.099609;250.000000
549176.810547;7818317.957031;-9708.980469;250.000000
550301.810547;7820270.039063;-9384.450195;250.000000
551176.810547;7817736.089844;-9574.080078;250.000000
550139.310547;7817679.777344;-9689.690430;250.000000
548951.810547;7820044.800781;-9722.599609;250.000000
550801.810547;7818749.667969;-9627.360352;250.000000
550489.310547;7820851.910156;-9590.690430;250.000000
550889.310547;7820363.886719;-9527.959961;250.000000
549964.310547;7817642.238281;-9684.700195;250.000000
549214.310547;7819950.949219;-9728.450195;250.000000
549026.810547;7818956.140625;-9730.370117;250.000000
551901.810547;7817998.871094;-9561.700195;250.000000
550464.310547;7817417.000000;-9640.019531;250.000000
550901.810547;7821058.378906;-9689.429688;250.000000
550301.810547;7821020.839844;-9654.299805;250.000000
550389.310547;7817585.929688;-9666.370117;250.000000
549689.310547;7818524.429688;-9581.530273;250.000000
550639.310547;7817022.828125;-9616.980469;250.000000
548989.310547;7820495.281250;-9739.299805;250.000000
549026.810547;7817773.628906;-9638.410156;250.000000
549364.310547;7818261.648438;-9705.160156;250.000000
550389.310547;7820232.500000;-9379.629883;250.000000
549076.810547;7821827.949219;-9752.209961;250.000000
550364.310547;7821058.378906;-9661.610352;250.000000
551239.310547;7817942.558594;-9557.299805;250.000000
549626.810547;7821114.691406;-9744.269531;250.000000
549339.310547;7818561.968750;-9644.000000;250.000000
550089.310547;7820776.828125;-9623.469727;250.000000
549689.310547;7820626.667969;-9700.160156;250.000000
551451.810547;7817454.539063;-9591.070313;250.000000
549301.810547;7819763.250000;-9726.580078;250.000000
549801.810547;7817004.058594;-9623.740234;250.000000
548889.310547;7820570.359375;-9755.540039;250.000000
549639.310547;7820026.027344;-9658.870117;250.000000
549889.310547;7816684.968750;-9654.879883;250.000000
549789.310547;7819706.937500;-9656.690430;250.000000
549039.310547;7818599.507813;-9726.950195;250.000000
550201.810547;7818055.179688;-9700.540039;250.000000
550776.810547;7819631.859375;-9546.719727;250.000000
549164.310547;7818881.058594;-9711.660156;250.000000
550826.810547;7819331.539063;-9491.660156;250.000000
552364.310547;7817060.367188;-9439.099609;250.000000
549076.810547;7817829.937500;-9653.530273;250.000000
549239.310547;7817604.699219;-9539.379883;250.000000
549526.810547;7820551.589844;-9725.610352;250.000000
549251.810547;7817811.167969;-9632.080078;250.000000
550876.810547;7816741.277344;-9640.919922;250.000000
548901.810547;7816928.980469;-9690.549805;250.000000
551326.810547;7821677.789063;-9657.690430;250.000000
550614.310547;7817942.558594;-9618.589844;250.000000
549251.810547;7817041.597656;-9591.759766;250.000000
551901.810547;7817811.167969;-9570.110352;250.000000
550714.310547;7820908.218750;-9610.309570;250.000000
550964.310547;7818280.417969;-9600.929688;250.000000
550639.310547;7821020.839844;-9646.799805;250.000000
549014.310547;7819969.718750;-9722.799805;250.000000
549426.810547;7817004.058594;-9612.120117;250.000000
551114.310547;7820795.597656;-9669.719727;250.000000
552426.810547;7817116.679688;-9398.120117;250.000000
551301.810547;7817191.757813;-9573.820313;250.000000
549551.810547;7817229.300781;-9568.610352;250.000000
551964.310547;7817867.480469;-9567.469727;250.000000
549664.310547;7820457.738281;-9685.330078;250.000000
550351.810547;7820964.531250;-9628.969727;250.000000
550839.310547;7818299.187500;-9633.809570;250.000000
551864.310547;7821790.410156;-9532.830078;250.000000
550151.810547;7821077.148438;-9704.299805;250.000000
551101.810547;7818411.808594;-9554.419922;250.000000
550026.810547;7818843.519531;-9630.660156;250.000000
551189.310547;7818524.429688;-9552.419922;250.000000
549664.310547;7818036.410156;-9702.389648;250.000000
550714.310547;7821189.769531;-9697.679688;250.000000
549501.810547;7819387.851563;-9687.190430;250.000000
549651.810547;7820758.058594;-9731.469727;250.000000
550089.310547;7821827.949219;-9745.120117;250.000000
551614.310547;7816684.968750;-9578.179688;250.000000
550989.310547;7816684.968750;-9622.240234;250.000000
551376.810547;7821396.238281;-9686.969727;250.000000
552339.310547;7817529.617188;-9520.030273;250.000000
549376.810547;7818205.339844;-9711.320313;250.000000
549126.810547;7818393.039063;-9713.110352;250.000000
551376.810547;7817210.527344;-9572.900391;250.000000
549276.810547;7820101.109375;-9721.440430;250.000000
549589.310547;7816966.519531;-9637.580078;250.000000
549539.310547;7820908.218750;-9746.240234;250.000000
549426.810547;7819782.019531;-9711.150391;250.000000
550089.310547;7820945.757813;-9675.330078;250.000000
550239.310547;7817642.238281;-9681.799805;250.000000
550364.310547;7821283.617188;-9715.980469;250.000000
550426.810547;7817510.847656;-9655.230469;250.000000
549439.310547;7817492.078125;-9497.679688;250.000000
551414.310547;7821171.000000;-9672.459961;250.000000
550901.810547;7820101.109375;-9547.509766;250.000000
549026.810547;7816797.589844;-9687.799805;250.000000
550389.310547;7816966.519531;-9578.360352;250.000000
548939.310547;7817867.480469;-9682.929688;250.000000
549601.810547;7817417.000000;-9565.639648;250.000000
551426.810547;7821583.941406;-9667.099609;250.000000
551489.310547;7821471.320313;-9677.179688;250.000000
549426.810547;7817773.628906;-9616.629883;250.000000
549964.310547;7820589.128906;-9618.929688;250.000000
549351.810547;7816666.199219;-9662.910156;250.000000
550626.810547;7820138.648438;-9452.969727;250.000000
550489.310547;7817229.300781;-9607.370117;250.000000
551726.810547;7821602.710938;-9621.940430;250.000000
551864.310547;7821827.949219;-9523.120117;250.000000
550176.810547;7817116.679688;-9575.589844;250.000000
550839.310547;7821302.390625;-9717.120117;250.000000
551301.810547;7816966.519531;-9578.290039;250.000000
550626.810547;7819500.468750;-9507.879883;250.000000
551501.810547;7821152.230469;-9665.250000;250.000000
549689.310547;7819500.468750;-9656.959961;250.000000
549651.810547;7817942.558594;-9694.330078;250.000000
549639.310547;7820945.757813;-9737.809570;250.000000
549176.810547;7817097.910156;-9570.900391;250.000000
549051.810547;7820194.960938;-9720.339844;250.000000
550064.310547;7817623.468750;-9682.559570;250.000000
551376.810547;7821039.609375;-9666.139648;250.000000
550239.310547;7817116.679688;-9571.320313;250.000000
550364.310547;7819969.718750;-9451.440430;250.000000
551276.810547;7821546.398438;-9674.349609;250.000000
550626.810547;7816928.980469;-9628.110352;250.000000
550889.310547;7820138.648438;-9541.759766;250.000000
