X;Y;Z;Strati
550551.810547;7821921.800781;-9734.299805;250.000000
550551.810547;7821903.027344;-9731.809570;250.000000
550551.810547;7821884.257813;-9730.330078;250.000000
550551.810547;7821865.488281;-9729.330078;250.000000
550551.810547;7821846.718750;-9729.679688;250.000000
550551.810547;7821827.949219;-9730.709961;250.000000
550551.810547;7821809.179688;-9730.879883;250.000000
550551.810547;7821790.410156;-9730.450195;250.000000
550551.810547;7821771.640625;-9730.040039;250.000000
550551.810547;7821752.867188;-9730.120117;250.000000
550551.810547;7821734.101563;-9734.049805;250.000000
550551.810547;7821715.328125;-9738.860352;250.000000
550551.810547;7821696.558594;-9739.889648;250.000000
550551.810547;7821677.789063;-9742.009766;250.000000
550551.810547;7821659.019531;-9742.530273;250.000000
550551.810547;7821640.250000;-9739.570313;250.000000
550551.810547;7821621.480469;-9736.240234;250.000000
550551.810547;7821602.710938;-9734.339844;250.000000
550551.810547;7821583.941406;-9731.750000;250.000000
550551.810547;7821565.167969;-9725.660156;250.000000
550551.810547;7821546.398438;-9755.589844;250.000000
550551.810547;7821527.628906;-9763.250000;250.000000
550551.810547;7821508.859375;-9763.849609;250.000000
550551.810547;7821490.089844;-9759.570313;250.000000
550551.810547;7821471.320313;-9756.870117;250.000000
550551.810547;7821452.550781;-9755.690430;250.000000
550551.810547;7821433.781250;-9752.549805;250.000000
550551.810547;7821415.007813;-9751.469727;250.000000
550551.810547;7821396.238281;-9745.540039;250.000000
550551.810547;7821377.468750;-9730.040039;250.000000
550551.810547;7821358.699219;-9725.639648;250.000000
550551.810547;7821339.929688;-9725.160156;250.000000
550551.810547;7821321.160156;-9725.719727;250.000000
550551.810547;7821302.390625;-9728.080078;250.000000
550551.810547;7821283.617188;-9724.040039;250.000000
550551.810547;7821264.847656;-9721.629883;250.000000
550551.810547;7821246.078125;-9718.209961;250.000000
550551.810547;7821227.308594;-9712.990234;250.000000
550551.810547;7821208.539063;-9711.759766;250.000000
550551.810547;7821189.769531;-9711.530273;250.000000
550551.810547;7821171.000000;-9712.879883;250.000000
550551.810547;7821152.230469;-9694.780273;250.000000
550551.810547;7821133.457031;-9691.370117;250.000000
550551.810547;7821114.691406;-9688.700195;250.000000
550551.810547;7821095.917969;-9683.570313;250.000000
550551.810547;7821077.148438;-9668.129883;250.000000
550551.810547;7821058.378906;-9657.780273;250.000000
550551.810547;7821039.609375;-9656.339844;250.000000
550551.810547;7821020.839844;-9636.160156;250.000000
550551.810547;7821002.070313;-9638.099609;250.000000
