X;Y;Z;Strati
550914.310547;7819594.320313;-10263.500000;330.000000
550176.810547;7819706.937500;-10137.700195;330.000000
548889.310547;7818092.718750;-10408.900391;330.000000
550814.310547;7821827.949219;-10568.400391;330.000000
549789.310547;7821114.691406;-10433.000000;330.000000
549276.810547;7818543.199219;-10320.000000;330.000000
550101.810547;7818055.179688;-10418.599609;330.000000
550926.810547;7821827.949219;-10563.799805;330.000000
551514.310547;7821283.617188;-10425.900391;330.000000
549676.810547;7819481.699219;-10223.299805;330.000000
550414.310547;7817135.449219;-10055.099609;330.000000
549151.810547;7818336.730469;-10448.099609;330.000000
552201.810547;7817229.300781;-9926.889648;330.000000
549826.810547;7821621.480469;-10421.599609;330.000000
549626.810547;7817398.226563;-9975.120117;330.000000
549114.310547;7816760.050781;-10506.000000;330.000000
551489.310547;7819782.019531;-10385.700195;330.000000
550739.310547;7821677.789063;-10567.599609;330.000000
549626.810547;7817867.480469;-10339.500000;330.000000
551964.310547;7821527.628906;-10397.000000;330.000000
550501.810547;7817248.070313;-10193.299805;330.000000
552001.810547;7821058.378906;-10546.900391;330.000000
550214.310547;7821058.378906;-10438.200195;330.000000
550714.310547;7821583.941406;-10579.400391;330.000000
550451.810547;7821058.378906;-10356.599609;330.000000
550051.810547;7819857.097656;-9981.709961;330.000000
550851.810547;7819913.410156;-10114.400391;330.000000
552114.310547;7821077.148438;-10548.000000;330.000000
549839.310547;7817285.609375;-10307.799805;330.000000
552064.310547;7821095.917969;-10545.500000;330.000000
552439.310547;7817548.386719;-9835.440430;330.000000
552376.810547;7817661.007813;-9933.330078;330.000000
552251.810547;7820420.199219;-10036.299805;330.000000
549951.810547;7820288.808594;-9867.549805;330.000000
551951.810547;7821039.609375;-10544.400391;330.000000
552426.810547;7820664.210938;-10419.299805;330.000000
549814.310547;7818524.429688;-9947.040039;330.000000
549501.810547;7817923.789063;-10329.500000;330.000000
549926.810547;7817492.078125;-10313.900391;330.000000
550939.310547;7820720.519531;-10313.599609;330.000000
549351.810547;7819763.250000;-10471.400391;330.000000
552176.810547;7821002.070313;-10546.299805;330.000000
551926.810547;7818149.027344;-10053.799805;330.000000
551539.310547;7820119.878906;-10150.400391;330.000000
549789.310547;7821771.640625;-10418.000000;330.000000
550826.810547;7820194.960938;-9926.129883;330.000000
549451.810547;7817360.687500;-9700.389648;330.000000
549801.810547;7821283.617188;-10440.500000;330.000000
550326.810547;7818468.117188;-10346.700195;330.000000
552214.310547;7816853.898438;-9949.629883;330.000000
550364.310547;7820382.660156;-9692.450195;330.000000
552076.810547;7821321.160156;-10494.400391;330.000000
550976.810547;7820795.597656;-10411.799805;330.000000
549851.810547;7821358.699219;-10454.799805;330.000000
551551.810547;7817379.460938;-10082.099609;330.000000
550976.810547;7819744.480469;-10328.599609;330.000000
552189.310547;7821396.238281;-10387.799805;330.000000
549939.310547;7818336.730469;-10346.000000;330.000000
549939.310547;7818036.410156;-10423.900391;330.000000
549726.810547;7819969.718750;-10196.700195;330.000000
549864.310547;7819350.308594;-10140.000000;330.000000
551489.310547;7817398.226563;-10085.599609;330.000000
551276.810547;7817792.398438;-10233.299805;330.000000
549326.810547;7819425.390625;-10468.799805;330.000000
549726.810547;7818411.808594;-10149.500000;330.000000
549551.810547;7819631.859375;-10442.000000;330.000000
552326.810547;7817435.769531;-9870.509766;330.000000
549064.310547;7816778.816406;-10515.799805;330.000000
549639.310547;7820007.257813;-10286.400391;330.000000
550876.810547;7821133.457031;-10557.900391;330.000000
552339.310547;7817360.687500;-9817.629883;330.000000
551226.810547;7821433.781250;-10469.599609;330.000000
552301.810547;7817773.628906;-10019.799805;330.000000
549014.310547;7818449.347656;-10418.099609;330.000000
551776.810547;7816835.128906;-10122.400391;330.000000
550726.810547;7820457.738281;-9733.349609;330.000000
550039.310547;7820270.039063;-9756.519531;330.000000
549664.310547;7820363.886719;-10338.200195;330.000000
549826.810547;7818280.417969;-10360.400391;330.000000
550989.310547;7821527.628906;-10551.299805;330.000000
552089.310547;7818411.808594;-10014.200195;330.000000
548964.310547;7818336.730469;-10414.000000;330.000000
549614.310547;7819106.300781;-10234.900391;330.000000
550839.310547;7821358.699219;-10637.599609;330.000000
552076.810547;7817754.859375;-10055.400391;330.000000
549326.810547;7821471.320313;-10362.799805;330.000000
549101.810547;7818092.718750;-10455.500000;330.000000
549989.310547;7821415.007813;-10461.700195;330.000000
551926.810547;7821321.160156;-10502.299805;330.000000
549276.810547;7820926.988281;-10368.099609;330.000000
551239.310547;7820026.027344;-10360.099609;330.000000
552326.810547;7817529.617188;-9915.719727;330.000000
552389.310547;7816797.589844;-9730.269531;330.000000
549539.310547;7819143.839844;-10325.799805;330.000000
549126.810547;7818468.117188;-10424.299805;330.000000
549539.310547;7817266.839844;-9868.820313;330.000000
550826.810547;7816947.750000;-10274.099609;330.000000
550701.810547;7818411.808594;-10381.799805;330.000000
