X;Y;Z;Strati
550551.810547;7821865.488281;-10530.400391;330.000000
550551.810547;7821846.718750;-10533.099609;330.000000
550551.810547;7821827.949219;-10535.799805;330.000000
550551.810547;7821809.179688;-10538.400391;330.000000
550551.810547;7821790.410156;-10541.099609;330.000000
550551.810547;7821771.640625;-10543.799805;330.000000
550551.810547;7821752.867188;-10546.400391;330.000000
550551.810547;7821734.101563;-10549.099609;330.000000
550551.810547;7821715.328125;-10551.799805;330.000000
550551.810547;7821696.558594;-10554.400391;330.000000
550551.810547;7821677.789063;-10554.400391;330.000000
550551.810547;7821659.019531;-10554.400391;330.000000
550551.810547;7821640.250000;-10554.400391;330.000000
550551.810547;7821621.480469;-10558.400391;330.000000
550551.810547;7821602.710938;-10562.400391;330.000000
550551.810547;7821583.941406;-10566.400391;330.000000
550551.810547;7821565.167969;-10564.799805;330.000000
550551.810547;7821546.398438;-10566.900391;330.000000
550551.810547;7821527.628906;-10568.000000;330.000000
550551.810547;7821508.859375;-10571.000000;330.000000
550551.810547;7821490.089844;-10577.099609;330.000000
550551.810547;7821471.320313;-10579.799805;330.000000
550551.810547;7821452.550781;-10579.400391;330.000000
550551.810547;7821433.781250;-10577.200195;330.000000
550551.810547;7821415.007813;-10574.500000;330.000000
550551.810547;7821396.238281;-10571.099609;330.000000
550551.810547;7821377.468750;-10566.700195;330.000000
550551.810547;7821358.699219;-10563.400391;330.000000
550551.810547;7821339.929688;-10559.400391;330.000000
550551.810547;7821321.160156;-10557.099609;330.000000
550551.810547;7821302.390625;-10553.299805;330.000000
550551.810547;7821283.617188;-10543.700195;330.000000
550551.810547;7821264.847656;-10537.500000;330.000000
550551.810547;7821246.078125;-10532.000000;330.000000
550551.810547;7821227.308594;-10522.900391;330.000000
550551.810547;7821208.539063;-10511.700195;330.000000
550551.810547;7821189.769531;-10499.700195;330.000000
550551.810547;7821171.000000;-10485.900391;330.000000
550551.810547;7821152.230469;-10453.900391;330.000000
550551.810547;7821133.457031;-10421.900391;330.000000
550551.810547;7821114.691406;-10389.900391;330.000000
550551.810547;7821095.917969;-10361.400391;330.000000
550551.810547;7821077.148438;-10350.700195;330.000000
550551.810547;7821058.378906;-10337.099609;330.000000
550551.810547;7821039.609375;-10314.200195;330.000000
550551.810547;7821020.839844;-10300.400391;330.000000
550551.810547;7821002.070313;-10275.700195;330.000000
550551.810547;7820983.296875;-10245.700195;330.000000
550551.810547;7820964.531250;-10215.700195;330.000000
550551.810547;7820945.757813;-10191.700195;330.000000
550551.810547;7820926.988281;-10167.700195;330.000000
550551.810547;7820908.218750;-10143.700195;330.000000
550551.810547;7820889.449219;-10071.700195;330.000000
550551.810547;7820870.679688;-10035.700195;330.000000
550551.810547;7820851.910156;-9999.660156;330.000000
550551.810547;7820833.140625;-9963.660156;330.000000
550551.810547;7820814.371094;-9927.660156;330.000000
550551.810547;7820795.597656;-9891.660156;330.000000
550551.810547;7820776.828125;-9819.660156;330.000000
550551.810547;7820758.058594;-9807.660156;330.000000
550551.810547;7820739.289063;-9795.660156;330.000000
550551.810547;7820720.519531;-9782.519531;330.000000
550551.810547;7820701.750000;-9768.379883;330.000000
550551.810547;7820682.980469;-9748.169922;330.000000
550551.810547;7820664.210938;-9737.719727;330.000000
550551.810547;7820645.437500;-9727.719727;330.000000
550551.810547;7820626.667969;-9707.709961;330.000000
550551.810547;7820607.898438;-9694.120117;330.000000
550551.810547;7820589.128906;-9689.040039;330.000000
550551.810547;7820570.359375;-9686.799805;330.000000
550551.810547;7820551.589844;-9686.110352;330.000000
550551.810547;7820532.820313;-9687.360352;330.000000
550551.810547;7820514.050781;-9686.969727;330.000000
550551.810547;7820495.281250;-9692.599609;330.000000
550551.810547;7820476.507813;-9697.660156;330.000000
550551.810547;7820457.738281;-9692.349609;330.000000
550551.810547;7820438.968750;-9687.559570;330.000000
550551.810547;7820420.199219;-9682.139648;330.000000
550551.810547;7820401.429688;-9676.070313;330.000000
550551.810547;7820382.660156;-9657.759766;330.000000
550551.810547;7820363.886719;-9649.650391;330.000000
550551.810547;7820345.121094;-9643.750000;330.000000
550551.810547;7820326.347656;-9628.339844;330.000000
550551.810547;7820307.578125;-9587.530273;330.000000
