,X,Y,Z,val,coord,type,dip,strike,event,Unnamed: 6
0,5500.0,2500.0,4000.0,0.0,0,fault,,,,
1,5500.0,2500.0,4000.0,0.0,0,fault,,,,
2,1.0,2500.0,4000.0,0.0,1,fault,,,,
3,7000.0,2500.0,4000.0,1.0,1,fault,,,,
4,1.0,2500.0,1000.0,0.0,2,fault,,,,
5,1.0,2500.0,4000.0,1.0,2,fault,,,,
0,5269.863845,6973.10625,4000.0,,0,,0.0,90.0,0.0,
1,5269.863845,6973.10625,4000.0,,0,s1,90.000346,359.999654,1.0,
2,5269.863845,6973.10625,4000.0,,0,,90.000346,270.0,2.0,
3,5269.863845,6973.10625,4000.0,,0,fault,44.99948,219.999808,3.0,
4,5269.863845,6973.10625,4000.0,,0,s0,54.30689,239.37902799999998,4.0,
5,9496.931403,2732.865093,4000.0,,0,,54.30689,239.37902799999998,0.0,
6,9496.931403,2732.865093,4000.0,,0,s1,89.999654,179.999654,1.0,
7,9496.931403,2732.865093,4000.0,,0,,90.000346,270.0,2.0,
8,9496.931403,2732.865093,4000.0,,0,fault,44.99948,219.999808,3.0,
9,9496.931403,2732.865093,4000.0,,0,s0,59.489681000000004,206.329917,4.0,
10,3147.709623,6396.784754,4000.0,,0,,59.489681000000004,206.329917,0.0,
11,3147.709623,6396.784754,4000.0,,0,s1,90.000346,359.999654,1.0,
12,3147.709623,6396.784754,4000.0,,0,,90.000346,270.0,2.0,
13,3147.709623,6396.784754,4000.0,,0,fault,44.99948,219.999808,3.0,
14,3147.709623,6396.784754,4000.0,,0,s0,37.934939,434.936636,4.0,
15,7493.672298,5002.950227,4000.0,,0,,37.934939,434.936636,0.0,
16,7493.672298,5002.950227,4000.0,,0,s1,90.000346,359.999654,1.0,
17,7493.672298,5002.950227,4000.0,,0,,89.999654,90.0,2.0,
18,7493.672298,5002.950227,4000.0,,0,fault,44.99948,219.999808,3.0,
19,7493.672298,5002.950227,4000.0,,0,s0,53.600874,393.703873,4.0,
20,1760.572316,5081.471679,4000.0,,0,,53.600874,393.703873,0.0,
21,1760.572316,5081.471679,4000.0,,0,s1,90.000346,359.999654,1.0,
22,1760.572316,5081.471679,4000.0,,0,,89.999654,90.0,2.0,
23,1760.572316,5081.471679,4000.0,,0,fault,44.99948,219.999808,3.0,
24,1760.572316,5081.471679,4000.0,,0,s0,57.353469999999994,151.169826,4.0,
25,1240.5576119999998,1653.718706,4000.0,,0,,57.353469999999994,151.169826,0.0,
26,1240.5576119999998,1653.718706,4000.0,,0,s1,90.000346,359.999654,1.0,
27,1240.5576119999998,1653.718706,4000.0,,0,,89.999654,90.0,2.0,
28,1240.5576119999998,1653.718706,4000.0,,0,fault,44.99948,219.999808,3.0,
29,1240.5576119999998,1653.718706,4000.0,,0,s0,58.242229,116.03311000000001,4.0,
30,4706.8804820000005,3908.618542,4000.0,,0,,58.242229,116.03311000000001,0.0,
31,4706.8804820000005,3908.618542,4000.0,,0,s1,89.999654,179.999654,1.0,
32,4706.8804820000005,3908.618542,4000.0,,0,,90.000346,270.0,2.0,
33,4706.8804820000005,3908.618542,4000.0,,0,fault,44.99948,219.999808,3.0,
34,4706.8804820000005,3908.618542,4000.0,,0,s0,60.421241,293.73042999999996,4.0,
35,4420.944794,5090.320137,4000.0,,0,,60.421241,293.73042999999996,0.0,
36,4420.944794,5090.320137,4000.0,,0,s1,90.000346,359.999654,1.0,
37,4420.944794,5090.320137,4000.0,,0,,90.000346,270.0,2.0,
38,4420.944794,5090.320137,4000.0,,0,fault,44.99948,219.999808,3.0,
39,4420.944794,5090.320137,4000.0,,0,s0,58.193701000000004,407.97961200000003,4.0,
40,485.3894,4286.390474,4000.0,,0,,58.193701000000004,407.97961200000003,0.0,
41,485.3894,4286.390474,4000.0,,0,s1,90.000346,359.999654,1.0,
42,485.3894,4286.390474,4000.0,,0,,90.000346,270.0,2.0,
43,485.3894,4286.390474,4000.0,,0,fault,44.99948,219.999808,3.0,
44,485.3894,4286.390474,4000.0,,0,s0,57.573414,313.289473,4.0,
45,8329.255243000001,6641.373346,4000.0,,0,,57.573414,313.289473,0.0,
46,8329.255243000001,6641.373346,4000.0,,0,s1,90.000346,359.999654,1.0,
47,8329.255243000001,6641.373346,4000.0,,0,,89.999654,90.0,2.0,
48,8329.255243000001,6641.373346,4000.0,,0,fault,44.99948,219.999808,3.0,
49,8329.255243000001,6641.373346,4000.0,,0,s0,55.114704,351.377194,4.0,
50,7204.559465,6775.929583,4000.0,,0,,55.114704,351.377194,0.0,
51,7204.559465,6775.929583,4000.0,,0,s1,90.000346,359.999654,1.0,
52,7204.559465,6775.929583,4000.0,,0,,90.000346,270.0,2.0,
53,7204.559465,6775.929583,4000.0,,0,fault,44.99948,219.999808,3.0,
54,7204.559465,6775.929583,4000.0,,0,s0,36.535393,343.127011,4.0,
55,1515.50242,6263.390221,4000.0,,0,,36.535393,343.127011,0.0,
56,1515.50242,6263.390221,4000.0,,0,s1,90.000346,359.999654,1.0,
57,1515.50242,6263.390221,4000.0,,0,,90.000346,270.0,2.0,
58,1515.50242,6263.390221,4000.0,,0,fault,44.99948,219.999808,3.0,
59,1515.50242,6263.390221,4000.0,,0,s0,53.600731999999994,146.296574,4.0,
60,7456.294809,6107.842149,4000.0,,0,,53.600731999999994,146.296574,0.0,
61,7456.294809,6107.842149,4000.0,,0,s1,90.000346,359.999654,1.0,
62,7456.294809,6107.842149,4000.0,,0,,90.000346,270.0,2.0,
63,7456.294809,6107.842149,4000.0,,0,fault,44.99948,219.999808,3.0,
64,7456.294809,6107.842149,4000.0,,0,s0,58.125626000000004,405.43807400000003,4.0,
65,6327.374596,5966.442235,4000.0,,0,,58.125626000000004,405.43807400000003,0.0,
66,6327.374596,5966.442235,4000.0,,0,s1,90.000346,359.999654,1.0,
67,6327.374596,5966.442235,4000.0,,0,,89.999654,90.0,2.0,
68,6327.374596,5966.442235,4000.0,,0,fault,44.99948,219.999808,3.0,
69,6327.374596,5966.442235,4000.0,,0,s0,64.19418399999999,133.289473,4.0,
70,3790.8946840000003,562.0899019999999,4000.0,,0,,64.19418399999999,133.289473,0.0,
71,3790.8946840000003,562.0899019999999,4000.0,,0,s1,90.000346,359.999654,1.0,
72,3790.8946840000003,562.0899019999999,4000.0,,0,,89.999654,90.0,2.0,
73,3790.8946840000003,562.0899019999999,4000.0,,0,fault,44.99948,219.999808,3.0,
74,3790.8946840000003,562.0899019999999,4000.0,,0,s0,60.727687,320.038766,4.0,
75,5838.3481170000005,995.4803449999999,4000.0,,0,,60.727687,320.038766,0.0,
76,5838.3481170000005,995.4803449999999,4000.0,,0,s1,90.000346,359.999654,1.0,
77,5838.3481170000005,995.4803449999999,4000.0,,0,,90.000346,270.0,2.0,
78,5838.3481170000005,995.4803449999999,4000.0,,0,fault,44.99948,219.999808,3.0,
79,5838.3481170000005,995.4803449999999,4000.0,,0,s0,63.142996,142.656417,4.0,
80,5095.902656,3483.4413670000004,4000.0,,0,,63.142996,142.656417,0.0,
81,5095.902656,3483.4413670000004,4000.0,,0,s1,89.999654,179.999654,1.0,
82,5095.902656,3483.4413670000004,4000.0,,0,,90.000346,270.0,2.0,
83,5095.902656,3483.4413670000004,4000.0,,0,fault,44.99948,219.999808,3.0,
84,5095.902656,3483.4413670000004,4000.0,,0,s0,55.694596,262.055246,4.0,
85,5182.997976,840.2267449999999,4000.0,,0,,55.694596,262.055246,0.0,
86,5182.997976,840.2267449999999,4000.0,,0,s1,89.999654,179.999654,1.0,
87,5182.997976,840.2267449999999,4000.0,,0,,89.999654,90.0,2.0,
88,5182.997976,840.2267449999999,4000.0,,0,fault,44.99948,219.999808,3.0,
89,5182.997976,840.2267449999999,4000.0,,0,s0,53.600874,146.296127,4.0,
90,2624.849416,717.997229,4000.0,,0,,53.600874,146.296127,0.0,
91,2624.849416,717.997229,4000.0,,0,s1,89.999654,179.999654,1.0,
92,2624.849416,717.997229,4000.0,,0,,89.999654,90.0,2.0,
93,2624.849416,717.997229,4000.0,,0,fault,44.99948,219.999808,3.0,
94,2624.849416,717.997229,4000.0,,0,s0,45.958711,226.710527,4.0,
95,5140.509899000001,757.29039,4000.0,,0,,45.958711,226.710527,0.0,
96,5140.509899000001,757.29039,4000.0,,0,s1,90.000346,359.999654,1.0,
97,5140.509899000001,757.29039,4000.0,,0,,89.999654,90.0,2.0,
98,5140.509899000001,757.29039,4000.0,,0,fault,44.99948,219.999808,3.0,
99,5140.509899000001,757.29039,4000.0,,0,s0,53.60083,146.296267,4.0,
100,7655.333266,4373.080693999999,4000.0,,0,,53.60083,146.296267,0.0,
101,7655.333266,4373.080693999999,4000.0,,0,s1,90.000346,359.999654,1.0,
