UNITNAME,code,colour
'P' Granite,Cgop,#ff5959
Adder Dacite,Cba,#6b8080
Adder Dacite/1,Cba/1,#3b4f4f
Adder Dacite/2,Cba/2,#526666
Adder Dacite?,Cba?,#6b8080
Adler Hill Basalt,TQva,#dbb54b
Agate Downs Siltstone,PLad,#85523e
Ah Fat Granodiorite Complex,Cgaf,#f0a394
Ah Fat Granodiorite Complex?,Cgaf?,#f0a394
Airport Quartz Diorite,Cgad,#d69dbc
Alberts Creek Monzogranite,Dgab,#c2006b
Alice Creek beds,DCc,#ccbff2
Allensleigh Basalt,Qbnl,#ffff80
Allsorts Rhyolite,Cka,#ccccb8
Allsorts Rhyolite/a,Cka/a,#999985
Allsorts Rhyolite/i,Cka/i,#e0e0d1
Allsorts Rhyolite/t,Cka/t,#b3b39e
Almac Granodiorite,Cgl,#cc4c80
Almaden Granodiorite-Cgaa,Cgaa,#ffa6e6
Almaden Granodiorite-Cgal,Cgal,#ff4dff
Alpha Centauri Metamorphics,PLac,#991400
Alpha Centauri Metamorphics/p,PLac/p,#bf540d
Alpha Centauri Metamorphics/q,PLac/q,#800000
Alpha Centauri Metamorphics/s,PLac/s,#bf6e26
Alpha Centauri Metamorphics/s?,PLac/s?,#bf6e26
Alpha Centauri Metamorphics?,PLac?,#991400
Alsace Quartzite,PLha,#e3cfab
Alsace Quartzite/1,PLha/1,#d6c29e
Alsace Quartzite/2,PLha/2,#bda885
Alsace Quartzite/2-3,PLha/2-3,#a89470
Alsace Quartzite/3,PLha/3,#94805c
Alsace Quartzite/4,PLha/4,#6b5733
Alsace Quartzite/5,PLha/5,#d6c29e
Alsace Quartzite/cg,PLha/cg,#d6c29e
Alsace Quartzite/e,PLha/e,#f0dbb8
Alsace Quartzite/e?,PLha/e?,#f0dbb8
Alsace Quartzite?,PLha?,#e3cfab
Alum Rock Conglomerate,Par,#2f84bd
Amarra Granite,SDgaa,#ffbee8
Amarra Granite?,SDgaa?,#ffbee8
Amber Granite,Cgoa,#f599cc
Anabranch Basalt Flow,Qba,#fced9f
Anabranch Basalt Flow?,Qba?,#fced9f
Ancaster Granite,Pgac,#e65966
Anglesey Rhyolite/1,Pvsa/1,#a6b8ff
Anglesey Rhyolite/2,Pvsa/2,#8c9eff
Anglesey Rhyolite?,Pvsa?,#bed2ff
Angore Granite,Cgzg,#ff14c7
Angore Granite/1,Cgzg/1,#ff59b3
Angore Granite/1-alteration,Cgzg/1/a,#ff73cc
Angore Granite/2,Cgzg/2,#ff4099
Angore Granite/2-alteration,Cgzg/2/a,#ff66b3
Angore Granite/3,Cgzg/3,#ff2680
Angore Granite/4,Cgzg/4,#ff4263
Angore Granite/f,Cgzg/f,#ff99f2
Angore Granite/p,Cgzg/p,#ffa6ff
Annable Granite,PLgsa,#ff78d1
Annie Creek Schist,PLya,#d7c29e
Annie Creek Schist?,PLya?,#d7c29e
Anning Granite,Sga,#ff4d5c
Anning Granite?,Sga?,#ff4d5c
Answer Slate,PLa,#594a3d
Answer Slate/s,PLa/s,#857569
Answer Slate/t,PLa/t,#b08582
Ant Hill Andesite Member,Cmia,#b2b2b2
Aralba Granite,Dgal,#ff6694
Arden Granite,Cgod,#f559a6
Argentine Metamorphics/a,PLEa/a,#e64040
Argentine Metamorphics/a?,PLEa/a?,#e64040
Argentine Metamorphics/m,PLEa/m,#f2cccc
Argentine Metamorphics/p,PLEa/p,#e69999
Argentine Metamorphics/s?,PLEab?,#f2d9d9
Argentine Metamorphics/sa,PLEa/sa,#e67373
Argentine Metamorphics/sa?,PLEa/sa?,#e67373
Argentine Metamorphics/sp,sp,#009e25
Argylla Formation,PLva,#a64c33
Argylla Formation/4,PLva/4,#994026
Argylla Formation/a,PLva/a,#f7ab91
Argylla Formation/b,PLva/b,#8c3319
Argylla Formation/m,PLva/m,#bd664c
Argylla Formation/mg,PLva/mg,#d9664c
Argylla Formation/mg?,PLva/mg?,#d9664c
