UNITNAME,code,colour
Hart_Dolerite,P___ha_od,#8EE4B4
Broome__Mowla_and_Melligo_Sandstones,K__bm_st,#DFFEB8
King_Leopold_Sandstone,P__KMl_st,#ECCBA7
Yampi_Formation,P__KMy_sta,#ECCBA7
Wallal_Sandstone,J__wa_st,#ADFED5
Pentecost_Sandstone,P__KMp_st,#ECCBA7
Carson_Volcanics,P__KMc_bb,#D2F4E1
Warton_Sandstone,P__KMw_st,#F5E5D3
Gidley_Granophyre,A_FFgi_gv,#FEBFBA
Erskine_Sandstone,R__er_st,#BAFCEC
Wotjulum_Porphyry,P___wj_gmap,#FECFCB
Maitland_River_Supersuite,A_MR_g,#FE9E98
Jarlemai_Siltstone,J__ja_sl,#DFFEB8
Miaree_Granite,A_MRmi_gm,#FE9E98
Winning_Group,K_WN_sf,#DFFEB8
Fortescue_Group,A_FO_od,#8EE4B4
Elgee_Siltstone,P__KMe_xsl_kd,#E6A89A
Hearson_Cove_Monzogranite,A_MRhe_gmp,#FE9E98
Mount_Roe_Basalt,A_FOr_b,#C4C798
Noonkanbah_Formation,P__no_sf,#B5E1FC
Bastion_Group,P__BA_s,#D5B9AA
Gidley_Granophyre,A_FFgi_og,#A5E9C3
Kylena_Formation,A_FOk_b,#C4C798
Antrim_Plateau_Volcanics,E__ap_xbb_s,#EFBEE7
Speewah_Group,P__SP_s,#E99ECE
Louden_Volcanic_Member,A_CDbl_xb_s,#63FD67
Regal_Formation,A__re_b,#D4EFB9
Cleaverville_Formation,A_GCe_ca,#6BC3F9
Grant_Group,CP_GR_sepg,#9DD7FB
Weaber_Group,C_WE_sk,#C8D2D5
Cockatoo_Group,D_CO_sp,#E0E4FD
Carlton_Group,EO_CA_sk,#EFBEE7
Paperbark_Supersuite,P__PB_xg_o,#FE9E98
Marboo_Formation,P___mr_mh,#93911E
Hardey_Formation,A_FOh_xs_f,#F1D8BD
Roebourne_Group,A_RO_xb_u,#E9E6FE
Black_Hill_Well_Monzogranite,A_OPbl_gm,#FD5E53
Andover_Intrusion,A_OPan_xo_a,#78DEA4
Eramurra_Monzogranite,A_MRer_gm,#FE9E98
Tumbiana_Formation,A_FOt_xb_k,#D5D7B6
Frezier_Sandstone,K__fz_st,#BEFE72
Sisters_Supersuite,A_ST_xg_o,#F492CA
Warnbro_Group,K_WR_ss,#D4FEA1
Caines_Monzogranite,A_MRca_gm,#FE9E98
Red_Hill_Volcanics,A_WCr_f,#FEE79F
Coolyena_Group,K_CY_xk_s,#E9FFD0
Ruins_Dolerite,P___ru_mod,#3DE1B6
Mount_Barren_Group,P__MB_mh,#F6C292
Keep_Inlet_Formation,P_KUk_sepg,#D1DBDE
Jeerinah_Formation,A_FOj_xs_b,#DDDFC4
Weeli_Wolli_Formation,P__HAj_xci_od,#E0CABF
Brockman_Iron_Formation,P__HAb_cib,#84CDFA
Blina_Shale,R__bl_sl,#8CFADF
Poole_Sandstone,P__po_st,#9DD7FB
Liveringa_Group,P_LI_s,#B5E1FC
Eneabba_Formation,J__en_ss,#ADFED5
Fairfield_Group,DC_FA_xk_sf,#DDE4E6
Parda_Formation,K__pr_sf,#BEFE72
Emeriau_Sandstone,IP__em_st,#DFFEB8
Leeuwin_Inlier_metagranitic_unit,P_E_mgn_PJLE,#FB9FFC
Cadda_Formation,J__cd_sf,#98FECA
Upper_Cretaceous_carbonate_rocks__greater_Carnarvon_Basin,K_kl_WC,#D4FEA1
Maddina_Formation,A_FOm_b,#EEEFE2
Lillybooroora_Conglomerate,DC__li_scp,#D5DBFD
Cattamarra_Coal_Measures,J__cm_slh,#ADFED5
Yarragadee_Formation,J__ya_st,#6FFDB6
Wagina_Sandstone,P__wg_st,#6BC3F9
Leeuwin_Inlier_metamorphosed_mafic_intrusive_unit,P__mof_PJLE,#62D895
Forestier_Bay_Granodiorite,A_OPfo_gg,#FD5E53
Millyit_Sandstone,R__mi_sr,#A3FBE5
Sherlock_Intrusion,A_STse_xo_a,#A5E9C3
Nickol_River_Formation,A__nk_s,#D6C8CD
Rea_Dacite,A_OPre_fdp,#FD5E53
Ningbing_Group,D_NI_kl,#D5DBFD
South_West_Terrane_greenstones,A_xmno_mni_YSW,#B7C7C2
Leederville_Formation,K_WRl_ss,#D4FEA1
Callawa_Formation,K__ca_sp,#BEFE72
Malu_Formation,P__LAm_stq,#D09587
Lancelin_Formation,K_CYl_chl,#E9FFD0
Lesueur_Sandstone,R__le_st,#D1FDF2
Kockatea_Shale,R__kk_sl,#A3FBE5
Mingenew_Formation,P__mi_ss,#CEEBFD
Tumblagooda_Sandstone,OS__tu_st,#E6C1FF
Woodada_Formation,R__wo_ss,#A3FBE5
Otorowiri_Formation,JK_PAo_sfl,#DFFEB8
Cardup_Group,P__CD_s,#DDA365
Mount_Crofton_Granite,P___cr_g,#FE8E87
Yilgarn_Craton_granites,A_mgn_Y,#FE6FB8
South_West_Terrane_greenstones,A_mw_YSW,#78DEA4
Biranup_Zone_metagranitic_unit,AP__mgn_KKBB,#FEBBDD
South_West_Terrane_greenstones,A_mlsm_YSW,#FEE286
Yilgarn_Craton_granites,A_g_Y,#FECFCB
South_West_Terrane_greenstones,A_mdnf_YSW,#BDA35F
